	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
68	West Brom	West Ham United	1	0	26/04/2014	14	Their first meeting this season was memorable, not for the quality of football but for Nicolas Anelka's controversial quenelle gesture. West Brom are looking pretty desperate, teetering on the edge of the drop zone, and their manager, Pepe Mel, has pinpointed this game as the one where three points must be taken. As West Ham are without a win in three games, it does seem the moment for Albion to ease their relegation fears. Charlotte Trundley	1	-0.0035194456577301025,0.9935401082038879
69	Crystal Palace	Manchester City	0	2	27/04/2014	14	This has taken on the appearance of an awkward hurdle in Manchester City's pursuit of the Premier League title. Their hosts have won five top-flight games in succession for the first time in 22 years, their safety assured and the manager, Tony Pulis, now urging his team on to a top-half finish. City, without David Silva and Jesús Navas, will be grateful for Yaya Touré's potential return in midfield as they seek to prolong the title race. Come kick-off, when the result at Anfield will be known, they will be better placed to judge their own challenge. Ship points in south London and it will feel forlorn regardless. Dominic Fifield	-1	0.977234274148941,-0.33193427324295044
70	Liverpool	Chelsea	0	2	27/04/2014	14	Victory for Liverpool for the 12th successive league game would surely mean that their 24-year wait for the league title is over, but Brendan Rodgers knows that even Chelsea's supposed 'second XI' is a formidable barrier to that aim. José Mourinho will still select 11 players who are the envy of most of the Premier League, and it goes without saying he won't simply give up the title race. Paul Chronnell	-1	-0.9786208868026733,0.9992165565490723
71	Arsenal	Newcastle United	3	0	28/04/2014	14	Arsenal could be playing catch-up with Everton yet again by Monday evening in their pursuit of a top-four finish, though, on paper, a home collision with Newcastle is as appealing a fixture as any to fuel a rousing run-in. Alan Pardew's side have been ensconced in mid-table safety for so long that all momentum has been drained. They arrive in the capital with a squad depleted by injury and having lost their last five games, and 13 of 18 in all competitions since the end of December. Arsène Wenger will be licking his lips at the prospect of the match ahead. Dominic Fifield	1	0.995855063199997,-0.9982398450374603
72	Aston Villa	Hull City	3	1	03/05/2014	14	It is possible that the 35 points Aston Villa have so far accrued will be sufficient to extend their 26-year top-flight existence. However, with their final two fixtures away at Manchester City and then Tottenham, this is their best chance to make sure. Hull, only two points better off than their hosts, also need another victory before they can turn their thoughts to Wembley. Paul Chronnell	1	0.9975289702415466,-0.9941569566726685
73	Manchester United	Sunderland	0	1	03/05/2014	14	The fascination with the four-match Ryan Giggs managerial era is how the team fares each time he sends it out. For the visit of a resurgent Sunderland the outgoing champions make their penultimate home appearance of a bumpy campaign hoping to make it two wins from two under the Welshman. The £27.5m Marouane Fellaini will be hoping to return to the squad, having missed out against Norwich City last week. Jamie Jackson	-1	0.9867455959320068,0.9906518459320068
74	Stoke City	Fulham	4	1	03/05/2014	14	Felix Magath has probably had a long week thinking about the moment last Saturday when his side were 2-0 up against Hull with 15 minutes remaining and seemingly heading out of the relegation zone. Their failure to hold on to that lead means that they now depend on other results as well as their own, but winning on Saturday could put them back in control of their own destiny. Paul Chronnell	1	0,-0.9396686255931854
75	Swansea City	Southampton	0	1	03/05/2014	14	Southampton go into their final two games of an excellent season knowing their position of eighth cannot change and, with the shackles off, Mauricio Pochettino is set to hand a start to Sam Gallagher, the 18-year-old forward. Swansea confirmed their top-flight status with the 4-1 thumping of Aston Villa, a result which did the future of the interim manager Garry Monk no harm at all. Paul Chronnell	-1	0.9995716214179993,0.9983193278312683
76	Everton	Manchester City	2	3	03/05/2014	14	Manuel Pellegrini's team have been given a second chance to show their championship credentials on Merseyside, three weeks after falling short at Liverpool, and cannot afford to waste it against an Everton side with outside hopes of Champions League qualification. Goodison Park has brought City little reward for a decade and has witnessed only two home league defeats this season, although injuries and the ineligibility of Gareth Barry against his parent club limits Roberto Martínez's options. With Aston Villa and West Ham to follow at home, this promises to be the biggest obstacle to a second title in three seasons for City. Andy Hunter	-1	-0.0037525594234466553,-0.9812090396881104
77	Arsenal	West Brom	1	0	04/05/2014	14	Arsène Wenger says the heat, as usual, will be on Arsenal until the very last but at least this season it could be because they have a shot at silverware in the FA Cup final. They can sew up Champions League qualification again here and it remains a creditable achievement, even if it has become the minimum requirement. West Brom hope to be safe from relegation by Sunday evening. David Hytner	1	0.9624319672584534,-0.6857938766479492
78	Chelsea	Norwich City	0	0	04/05/2014	14	"Chelsea know their faint title hopes will effectively be extinguished if they fail to beat Neil Adams's struggling side, while the visitors might fear their stay in the division will go the same way if they do not prevail. ""They are playing for their lives,"" said Mourinho of Norwich. ""They have two games to decide whether they will be playing at Chelsea, Arsenal, United next season, or midweek games in the Championship."" He saw his own team lose at home to Sunderland, then bottom of the division, in his last home league match so his players have been warned. Dominic Fifield"	0	-0.9916943311691284,0.001427680253982544
79	Crystal Palace	Liverpool	3	3	05/05/2014	14	Liverpool may go into Monday's fixture at Selhurst Park in third place but, regardless, must triumph in south London if they are realistically to have any chance of securing a first league title in 24 years. There can be no lingering fallout from the damaging defeat to Chelsea, and Crystal Palace, safe in mid-table, would appear timely opposition. Yet Liverpool have not won on their last four visits to Palace, a sequence stretching back to December 1997, and the hosts will seek to end their own home campaign on a high. An awkward evening awaits. Dominic Fifield	0	-0.8765835165977478,-0.029614180326461792
80	Fulham	Crystal Palace	2	2	11/05/2014	14	These London clubs have moved in opposite directions since Martin Jol's Fulham conjured goals that defied belief to thrash Ian Holloway's Crystal Palace 4-1 at Selhurst Park back in October. That was the latter's last game in charge, the fifth of seven matches lost in succession. Yet Tony Pulis has steered the Eagles to a remarkable 11th place with the turmoil transferred to Craven Cottage. The hosts, now on their third manager of term, bid farewell to the top flight after 13 seasons with a summer of change ahead: the hope is their talented youngsters from an excellent academy are given opportunities on the final day to promise of an immediate return. Dominic Fifield	0	0.9390168786048889,0.9985904097557068
